                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2527,                 2.3002,                   1.35,                0.64642,                0.39073,                0.44824,                0.28926,                 1.2209,                 1.9867,                 1.3554,             0.00036436,             0.00036436,             0.00036436
                      2,                 1.2216,                 1.6621,                 1.3564,                0.45656,                0.41684,                0.39295,                0.22772,                 1.3073,                 1.7496,                 1.4723,             0.00072015,             0.00072015,             0.00072015
                      3,                 1.2899,                 1.4893,                 1.3647,                0.75968,                 0.2549,                0.31445,                0.20126,                 1.4304,                  2.397,                 1.5457,              0.0010613,              0.0010613,              0.0010613
                      4,                 1.2721,                 1.5293,                 1.3855,                0.49186,                0.42731,                0.38533,                0.21967,                 1.3506,                 2.1565,                 1.4781,               0.001045,               0.001045,               0.001045
                      5,                 1.2173,                 1.4005,                 1.3428,                 0.4908,                  0.378,                0.44492,                0.25513,                   1.29,                 1.4181,                 1.3987,               0.001023,               0.001023,               0.001023
                      6,                 1.1888,                 1.3369,                 1.3062,                0.43309,                0.53884,                 0.4822,                0.29129,                 1.3217,                 1.4417,                 1.3943,               0.001001,               0.001001,               0.001001
                      7,                 1.1733,                 1.3161,                 1.3204,                0.48311,                0.49754,                0.49484,                 0.3108,                 1.2562,                 1.2866,                 1.3536,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.1366,                 1.2503,                 1.2961,                0.66506,                0.40877,                0.54891,                  0.339,                 1.2181,                 1.1528,                 1.3674,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.0862,                 1.2038,                 1.2615,                0.69291,                0.52084,                0.57532,                0.36044,                 1.1782,                 1.1775,                 1.3304,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.0524,                 1.1121,                  1.225,                0.75993,                0.48551,                0.59404,                0.38935,                 1.2089,                 1.2426,                 1.3336,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.0761,                 1.1194,                 1.2509,                0.81524,                0.58631,                0.66538,                0.42612,                 1.1433,                 1.0029,                 1.2692,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.0186,                 1.0448,                 1.2096,                 0.7122,                0.54282,                0.64621,                0.40909,                 1.1887,                 1.0716,                 1.3268,             0.00086902,             0.00086902,             0.00086902
                     13,                  1.001,                 1.0147,                 1.1994,                0.59659,                0.65295,                0.62156,                0.41175,                 1.1482,                 1.0276,                 1.2756,             0.00084703,             0.00084703,             0.00084703
                     14,                0.97079,                 1.1131,                 1.1767,                0.76897,                0.52565,                0.61699,                0.39217,                 1.1341,                 1.0913,                 1.2753,             0.00082503,             0.00082503,             0.00082503
                     15,                0.98411,                  1.002,                 1.1912,                0.69565,                0.50545,                 0.6059,                0.40461,                 1.1417,                0.99695,                 1.2639,             0.00080303,             0.00080303,             0.00080303
                     16,                0.97231,                0.97909,                 1.1826,                0.72948,                 0.5818,                0.66912,                0.44271,                 1.2162,                 1.0193,                 1.3166,             0.00078103,             0.00078103,             0.00078103
                     17,                0.95572,                0.94199,                 1.1801,                 0.7961,                0.58987,                 0.6919,                0.39684,                 1.1608,                 1.0184,                 1.2862,             0.00075904,             0.00075904,             0.00075904
                     18,                0.95443,                0.92551,                  1.172,                0.65609,                 0.6435,                0.68628,                0.43473,                 1.1234,                0.92409,                 1.2847,             0.00073704,             0.00073704,             0.00073704
                     19,                0.92439,                0.88251,                 1.1429,                0.75896,                0.64174,                0.69248,                0.43599,                 1.0586,                0.88945,                 1.2248,             0.00071504,             0.00071504,             0.00071504
                     20,                 0.8973,                0.85711,                 1.1357,                0.68459,                0.62623,                0.66345,                 0.4337,                 1.0864,                0.91975,                  1.228,             0.00069304,             0.00069304,             0.00069304
                     21,                0.89723,                0.86935,                 1.1354,                 0.7175,                0.62175,                0.66169,                0.40193,                 1.1404,                0.94761,                 1.2703,             0.00067104,             0.00067104,             0.00067104
                     22,                0.89123,                0.82828,                 1.1363,                0.74011,                0.60583,                0.61863,                0.40989,                 1.0722,                0.94886,                 1.2108,             0.00064905,             0.00064905,             0.00064905
                     23,                0.85587,                0.82193,                 1.1218,                0.82477,                0.64311,                0.72876,                 0.4587,                 1.0483,                0.86107,                 1.1826,             0.00062705,             0.00062705,             0.00062705
                     24,                0.82942,                 0.7968,                 1.0963,                0.74404,                 0.5338,                0.65098,                 0.4527,                 1.0392,                0.94042,                 1.1947,             0.00060505,             0.00060505,             0.00060505
                     25,                0.81702,                0.77046,                 1.0922,                0.72603,                0.60732,                0.68482,                0.47017,                 1.0581,                0.90439,                 1.2176,             0.00058305,             0.00058305,             0.00058305
                     26,                0.83086,                0.72998,                 1.0835,                0.67456,                0.70618,                0.69112,                0.47399,                 1.0147,                0.85059,                 1.1659,             0.00056105,             0.00056105,             0.00056105
                     27,                0.82672,                0.75743,                 1.0964,                0.67159,                 0.6594,                0.67601,                0.47613,                 1.0232,                0.87746,                 1.1559,             0.00053906,             0.00053906,             0.00053906
                     28,                0.79064,                0.70161,                 1.0834,                0.76957,                0.64582,                0.74113,                0.50658,                 1.0305,                0.86152,                 1.1806,             0.00051706,             0.00051706,             0.00051706
                     29,                0.79239,                0.69346,                 1.0681,                0.76412,                0.57255,                 0.6839,                 0.4526,                0.99202,                0.86954,                 1.1621,             0.00049506,             0.00049506,             0.00049506
                     30,                0.78136,                0.70079,                  1.065,                0.68895,                0.67551,                0.70535,                0.47532,                 1.0456,                 0.8947,                 1.2068,             0.00047306,             0.00047306,             0.00047306
                     31,                 0.7645,                0.68962,                 1.0702,                0.75571,                0.57417,                0.66539,                0.46205,                 1.0179,                 0.8514,                 1.1825,             0.00045107,             0.00045107,             0.00045107
                     32,                0.76084,                0.67354,                 1.0595,                0.78961,                0.65945,                0.74794,                0.50652,                 1.0313,                0.83163,                 1.1958,             0.00042907,             0.00042907,             0.00042907
                     33,                0.73796,                0.63288,                 1.0479,                0.79927,                0.70394,                0.73583,                0.51328,                 1.0267,                0.79629,                 1.1665,             0.00040707,             0.00040707,             0.00040707
                     34,                0.73207,                0.63269,                 1.0318,                0.74866,                0.69678,                0.73152,                0.49954,                 1.0024,                 0.8258,                 1.1747,             0.00038507,             0.00038507,             0.00038507
                     35,                0.74023,                0.65004,                 1.0469,                0.68528,                0.66824,                0.70355,                0.48225,                0.98081,                0.82452,                 1.1704,             0.00036307,             0.00036307,             0.00036307
                     36,                0.73373,                0.62777,                 1.0444,                0.78789,                0.69168,                0.73838,                0.50726,                0.99768,                0.80562,                 1.1688,             0.00034108,             0.00034108,             0.00034108
                     37,                0.68537,                0.58908,                 1.0192,                0.78625,                0.67062,                0.73505,                 0.4976,                0.98616,                0.81568,                 1.1595,             0.00031908,             0.00031908,             0.00031908
                     38,                0.69604,                0.59026,                 1.0149,                0.66182,                0.68102,                0.69284,                0.48308,                0.97548,                0.83916,                 1.1694,             0.00029708,             0.00029708,             0.00029708
                     39,                0.68186,                0.57851,                 1.0257,                0.73432,                 0.6454,                0.71703,                0.49952,                 0.9517,                0.81564,                  1.149,             0.00027508,             0.00027508,             0.00027508
                     40,                0.66438,                0.55625,                 1.0091,                0.87027,                0.60979,                 0.7375,                 0.5289,                0.95814,                 0.7711,                 1.1416,             0.00025309,             0.00025309,             0.00025309
                     41,                0.68304,                0.53473,                 1.0215,                0.68509,                0.64854,                0.72394,                0.50787,                0.99035,                0.84596,                 1.1661,             0.00023109,             0.00023109,             0.00023109
                     42,                0.63604,                0.49683,                0.99558,                0.65199,                0.75361,                0.73138,                0.49203,                0.99328,                0.78069,                 1.1577,             0.00020909,             0.00020909,             0.00020909
                     43,                0.66517,                0.50841,                 1.0244,                0.76699,                 0.6554,                0.74892,                0.50227,                0.96989,                0.78256,                 1.1485,             0.00018709,             0.00018709,             0.00018709
                     44,                 0.6311,                0.46717,                0.98749,                0.76858,                0.67886,                0.73169,                0.50076,                 0.9488,                0.80665,                 1.1497,             0.00016509,             0.00016509,             0.00016509
                     45,                0.61355,                0.46919,                0.98904,                0.85761,                0.60662,                0.71771,                0.50445,                0.93605,                0.78597,                 1.1282,              0.0001431,              0.0001431,              0.0001431
                     46,                0.59742,                0.45152,                0.97695,                0.80023,                0.63243,                0.73724,                0.51557,                0.93241,                0.77985,                 1.1361,              0.0001211,              0.0001211,              0.0001211
                     47,                0.59364,                0.44312,                0.97333,                0.82833,                0.61867,                0.72753,                 0.5189,                 0.9166,                0.79084,                 1.1403,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.57924,                0.43009,                0.96663,                0.86061,                0.62729,                0.73862,                0.50837,                0.92147,                0.79624,                 1.1386,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.57375,                 0.4224,                0.96685,                0.83462,                0.62689,                0.74071,                0.51812,                0.91781,                0.77915,                 1.1424,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.57204,                0.42155,                0.96573,                0.82943,                0.62833,                 0.7465,                0.52503,                0.90983,                  0.781,                 1.1346,             3.3108e-05,             3.3108e-05,             3.3108e-05
